Birth Rate,Business Tax Rate,CO2 Emissions,Country,Days to Start Business,Ease of Business,Energy Usage,GDP,Health Exp % GDP,Health Exp/Capita,Hours to do Tax,Infant Mortality Rate,Internet Usage,Lending Interest,Life Expectancy Female,Life Expectancy Male,Mobile Phone Usage,Number of Records,Population 0-14,Population 15-64,Population 65+,Population Total,Population Urban,Region,Tourism Inbound,Tourism Outbound,Year
2.0%,,87931,Algeria,,,26998,"$54,790,058,957",3.5%,$60,,3.4%,0.0,10.0%,71,67,0.0,1,34.2%,61.9%,3.9%,31719449,59.9%,Africa,"$102,000,000","$193,000,000",12/1/2000
5.0%,,9542,Angola,,,7499,"$9,129,594,819",3.4%,$22,,12.8%,0.0,103.2%,47,44,0.0,1,47.6%,49.9%,2.5%,13924930,32.4%,Africa,"$34,000,000","$146,000,000",12/1/2000
4.3%,,1617,Benin,,,1983,"$2,359,122,303",4.3%,$15,,9.0%,0.0,,57,53,0.0,1,45.4%,51.7%,2.9%,6949366,38.3%,Africa,"$77,000,000","$50,000,000",12/1/2000
2.7%,,4276,Botswana,,,1836,"$5,788,311,645",4.7%,$152,,5.4%,0.0,15.5%,52,49,0.1,1,38.3%,58.7%,2.9%,1755375,53.2%,Africa,"$227,000,000","$209,000,000",12/1/2000
4.6%,,1041,Burkina Faso,,,,"$2,610,959,139",5.1%,$12,,9.6%,0.0,,52,49,0.0,1,46.8%,50.5%,2.8%,11607944,17.8%,Africa,"$23,000,000","$30,000,000",12/1/2000
4.2%,,301,Burundi,,,,"$870,486,066",6.3%,$7,,9.2%,0.0,15.8%,49,47,0.0,1,49.0%,48.1%,2.9%,6674286,8.2%,Africa,"$1,400,000","$14,000,000",12/1/2000
4.1%,,3432,Cameroon,,,6310,"$9,287,367,569",4.4%,$26,,9.3%,0.0,22.0%,53,51,0.0,1,45.3%,51.3%,3.4%,15927713,45.5%,Africa,"$132,000,000","$241,000,000",12/1/2000
3.9%,,268,Central African Republic,,,,"$914,500,332",4.3%,$11,,11.3%,0.0,22.0%,45,42,0.0,1,42.3%,53.7%,4.0%,3638316,37.6%,Africa,"$5,000,000","$33,000,000",12/1/2000
5.1%,,176,Chad,,,,"$1,385,058,212",6.3%,$10,,10.6%,0.0,22.0%,48,46,0.0,1,49.0%,48.2%,2.8%,8301151,21.6%,Africa,"$14,000,000","$56,000,000",12/1/2000
3.9%,,84,Comoros,,,,"$201,899,884",3.5%,$13,,7.3%,0.0,12.0%,59,56,,1,41.5%,55.4%,3.1%,528312,28.1%,Africa,"$15,000,000",,12/1/2000
4.8%,,1646,"Congo, Dem. Rep.",,,16679,"$19,088,046,305",4.8%,$14,,11.5%,0.0,,48,45,0.0,1,46.4%,50.7%,2.8%,46949244,35.1%,Africa,,,12/1/2000
3.9%,,1049,"Congo, Rep.",,,814,"$3,219,910,666",2.1%,$22,,7.7%,0.0,22.0%,53,51,0.0,1,41.9%,54.5%,3.6%,3126204,58.7%,Africa,"$12,400,000","$59,000,000",12/1/2000
3.8%,,6791,Cote d'Ivoire,,,6734,"$10,417,060,605",6.5%,$42,,10.0%,0.0,,47,46,0.0,1,42.1%,55.0%,2.9%,16131332,43.5%,Africa,"$53,000,000","$291,000,000",12/1/2000
3.0%,,403,Djibouti,,,,"$551,230,862",5.8%,$44,,8.0%,0.0,,59,55,0.0,1,41.4%,55.6%,3.0%,722887,76.5%,Africa,"$8,100,000","$14,800,000",12/1/2000
2.5%,,141326,"Egypt, Arab Rep.",,,40658,"$99,838,540,997",5.4%,$79,,3.6%,0.0,13.2%,71,66,0.0,1,35.4%,59.2%,5.3%,66136590,42.8%,Africa,"$4,657,000,000","$1,206,000,000",12/1/2000
4.0%,,455,Equatorial Guinea,,,,"$1,045,998,534",2.4%,$57,,9.9%,0.0,22.0%,49,46,0.0,1,42.6%,53.7%,3.7%,518179,38.8%,Africa,"$5,000,000","$19,000,000",12/1/2000
4.0%,,609,Eritrea,,,708,"$706,370,812",4.5%,$7,,5.8%,0.0,,58,54,,1,47.0%,51.2%,1.8%,3939348,17.6%,Africa,"$36,000,000",,12/1/2000
4.4%,,5831,Ethiopia,,,25242,"$8,091,384,891",4.3%,$5,,9.0%,0.0,10.9%,53,51,0.0,1,46.6%,50.3%,3.1%,66024199,14.7%,Africa,"$205,000,000","$80,000,000",12/1/2000
3.4%,,1052,Gabon,,,1463,"$5,067,865,503",2.9%,$118,,5.6%,0.0,22.0%,61,59,0.1,1,40.6%,53.5%,5.9%,1225527,80.1%,Africa,"$99,000,000","$183,000,000",12/1/2000
4.5%,,275,"Gambia, The",,,,"$782,913,866",4.5%,$29,,6.3%,0.0,24.0%,56,54,0.0,1,45.9%,51.4%,2.7%,1228863,47.9%,Africa,,,12/1/2000
3.5%,,6289,Ghana,,,7736,"$4,982,849,054",4.8%,$13,,6.5%,0.0,,58,56,0.0,1,41.4%,55.6%,3.0%,18825034,43.9%,Africa,"$357,000,000","$162,000,000",12/1/2000
4.2%,,1280,Guinea,,,,"$2,995,360,969",5.6%,$19,,10.3%,0.0,19.4%,51,51,0.0,1,44.0%,52.5%,3.4%,8746128,31.0%,Africa,"$7,800,000","$13,000,000",12/1/2000
4.2%,,147,Guinea-Bissau,,,,"$361,858,968",4.9%,$16,,10.9%,0.0,,53,50,,1,43.5%,53.4%,3.1%,1273312,36.7%,Africa,,,12/1/2000
3.9%,,10418,Kenya,,,14055,"$12,705,350,153",4.7%,$19,,6.9%,0.0,22.3%,54,52,0.0,1,44.2%,53.1%,2.8%,31285050,19.9%,Africa,"$500,000,000","$156,000,000",12/1/2000
3.1%,,,Lesotho,,,,"$771,200,632",6.9%,$29,,8.1%,0.0,17.1%,48,47,0.0,1,41.2%,54.3%,4.5%,1856225,19.5%,Africa,"$18,000,000","$195,000,000",12/1/2000
4.3%,,436,Liberia,,,,"$529,064,647",5.9%,$11,,11.9%,0.0,20.5%,53,52,0.0,1,43.2%,53.7%,3.1%,2891968,44.3%,Africa,,,12/1/2000
2.2%,,47114,Libya,,,15901,"$33,896,600,871",3.4%,$252,,2.4%,0.0,7.0%,74,70,0.0,1,33.3%,62.8%,3.9%,5176185,76.3%,Africa,"$84,000,000","$495,000,000",12/1/2000
4.1%,,1874,Madagascar,,,,"$3,877,673,635",5.0%,$12,,7.1%,0.0,26.5%,60,57,0.0,1,45.5%,51.5%,3.0%,15744811,27.1%,Africa,"$152,000,000","$139,000,000",12/1/2000
