Age,Education,MaritalStatus,Occupation,Race,Gender,HoursPerWeek,Country,Salary
39, Bachelors, Never-married, Adm-clerical, White, Male,40, United-States, <=50K
50, Bachelors, Married-civ-spouse, Exec-managerial, White, Male,13, United-States, <=50K
38, HS-grad, Divorced, Handlers-cleaners, White, Male,40, United-States, <=50K
53, 11th, Married-civ-spouse, Handlers-cleaners, Black, Male,40, United-States, <=50K
28, Bachelors, Married-civ-spouse, Prof-specialty, Black, Female,40, Cuba, <=50K
37, Masters, Married-civ-spouse, Exec-managerial, White, Female,40, United-States, <=50K
49, 9th, Married-spouse-absent, Other-service, Black, Female,16, Jamaica, <=50K
52, HS-grad, Married-civ-spouse, Exec-managerial, White, Male,45, United-States, >50K
31, Masters, Never-married, Prof-specialty, White, Female,50, United-States, >50K
42, Bachelors, Married-civ-spouse, Exec-managerial, White, Male,40, United-States, >50K
37, Some-college, Married-civ-spouse, Exec-managerial, Black, Male,80, United-States, >50K
30, Bachelors, Married-civ-spouse, Prof-specialty, Asian-Pac-Islander, Male,40, India, >50K
23, Bachelors, Never-married, Adm-clerical, White, Female,30, United-States, <=50K
32, Assoc-acdm, Never-married, Sales, Black, Male,50, United-States, <=50K
40, Assoc-voc, Married-civ-spouse, Craft-repair, Asian-Pac-Islander, Male,40, ?, >50K
34, 7th-8th, Married-civ-spouse, Transport-moving, Amer-Indian-Eskimo, Male,45, Mexico, <=50K
25, HS-grad, Never-married, Farming-fishing, White, Male,35, United-States, <=50K
32, HS-grad, Never-married, Machine-op-inspct, White, Male,40, United-States, <=50K
38, 11th, Married-civ-spouse, Sales, White, Male,50, United-States, <=50K
43, Masters, Divorced, Exec-managerial, White, Female,45, United-States, >50K
40, Doctorate, Married-civ-spouse, Prof-specialty, White, Male,60, United-States, >50K
54, HS-grad, Separated, Other-service, Black, Female,20, United-States, <=50K
35, 9th, Married-civ-spouse, Farming-fishing, Black, Male,40, United-States, <=50K
43, 11th, Married-civ-spouse, Transport-moving, White, Male,40, United-States, <=50K
59, HS-grad, Divorced, Tech-support, White, Female,40, United-States, <=50K
56, Bachelors, Married-civ-spouse, Tech-support, White, Male,40, United-States, >50K
19, HS-grad, Never-married, Craft-repair, White, Male,40, United-States, <=50K
54, Some-college, Married-civ-spouse, ?, Asian-Pac-Islander, Male,60, South, >50K
39, HS-grad, Divorced, Exec-managerial, White, Male,80, United-States, <=50K
49, HS-grad, Married-civ-spouse, Craft-repair, White, Male,40, United-States, <=50K
23, Assoc-acdm, Never-married, Protective-serv, White, Male,52, United-States, <=50K
20, Some-college, Never-married, Sales, Black, Male,44, United-States, <=50K
45, Bachelors, Divorced, Exec-managerial, White, Male,40, United-States, <=50K
30, Some-college, Married-civ-spouse, Adm-clerical, White, Male,40, United-States, <=50K
22, Some-college, Married-civ-spouse, Other-service, Black, Male,15, United-States, <=50K
48, 11th, Never-married, Machine-op-inspct, White, Male,40, Puerto-Rico, <=50K
21, Some-college, Never-married, Machine-op-inspct, White, Male,40, United-States, <=50K
19, HS-grad, Married-AF-spouse, Adm-clerical, White, Female,25, United-States, <=50K
31, Some-college, Married-civ-spouse, Sales, White, Male,38, ?, >50K
48, Assoc-acdm, Married-civ-spouse, Prof-specialty, White, Male,40, United-States, <=50K
31, 9th, Married-civ-spouse, Machine-op-inspct, White, Male,43, United-States, <=50K
53, Bachelors, Married-civ-spouse, Prof-specialty, White, Male,40, United-States, <=50K
24, Bachelors, Married-civ-spouse, Tech-support, White, Male,50, United-States, <=50K
49, HS-grad, Separated, Adm-clerical, White, Female,40, United-States, <=50K
25, HS-grad, Never-married, Handlers-cleaners, White, Male,35, United-States, <=50K
57, Bachelors, Married-civ-spouse, Prof-specialty, Black, Male,40, United-States, >50K
53, HS-grad, Married-civ-spouse, Machine-op-inspct, White, Male,38, United-States, <=50K
44, Masters, Divorced, Exec-managerial, White, Female,40, United-States, <=50K
41, Assoc-voc, Married-civ-spouse, Craft-repair, White, Male,40, United-States, <=50K
29, Assoc-voc, Never-married, Prof-specialty, White, Male,43, United-States, <=50K
25, Some-college, Married-civ-spouse, Exec-managerial, Other, Female,40, United-States, <=50K
18, HS-grad, Never-married, Other-service, White, Female,30, ?, <=50K
47, Prof-school, Married-civ-spouse, Prof-specialty, White, Female,60, Honduras, >50K
50, Bachelors, Divorced, Exec-managerial, White, Male,55, United-States, >50K
47, HS-grad, Divorced, Exec-managerial, White, Male,60, United-States, <=50K
43, Some-college, Married-civ-spouse, Tech-support, White, Male,40, United-States, >50K
46, 5th-6th, Married-civ-spouse, Machine-op-inspct, White, Male,40, Mexico, <=50K
35, Assoc-voc, Married-civ-spouse, Other-service, White, Male,40, Puerto-Rico, <=50K
41, HS-grad, Married-civ-spouse, Adm-clerical, White, Male,48, United-States, <=50K
30, HS-grad, Married-civ-spouse, Machine-op-inspct, White, Male,40, United-States, <=50K
30, Bachelors, Married-civ-spouse, Sales, White, Male,40, United-States, <=50K
32, 7th-8th, Married-spouse-absent, ?, White, Male,40, ?, <=50K
48, HS-grad, Married-civ-spouse, Transport-moving, White, Male,40, United-States, <=50K
42, Doctorate, Married-civ-spouse, Prof-specialty, White, Male,45, United-States, >50K
29, Some-college, Divorced, Tech-support, White, Male,58, United-States, <=50K
36, HS-grad, Married-civ-spouse, Craft-repair, White, Male,40, United-States, <=50K
28, Some-college, Divorced, Adm-clerical, White, Female,40, United-States, <=50K
53, HS-grad, Married-civ-spouse, Adm-clerical, White, Female,40, United-States, >50K
49, Some-college, Married-civ-spouse, Exec-managerial, White, Male,50, United-States, >50K
25, Some-college, Never-married, ?, White, Male,40, United-States, <=50K
19, Some-college, Never-married, Prof-specialty, White, Male,32, United-States, <=50K
31, Bachelors, Separated, Sales, Black, Female,40, United-States, <=50K
29, Bachelors, Married-civ-spouse, Sales, White, Male,70, United-States, >50K
23, Some-college, Never-married, Machine-op-inspct, White, Male,40, United-States, <=50K
79, Some-college, Married-civ-spouse, Prof-specialty, White, Male,20, United-States, <=50K
27, HS-grad, Never-married, Other-service, White, Male,40, Mexico, <=50K
40, Assoc-acdm, Married-civ-spouse, Adm-clerical, White, Male,40, United-States, <=50K
67, 10th, Married-civ-spouse, ?, White, Male,2, United-States, <=50K
18, 11th, Never-married, Other-service, White, Female,22, United-States, <=50K
31, 7th-8th, Married-civ-spouse, Farming-fishing, White, Male,40, United-States, <=50K
18, HS-grad, Never-married, Sales, White, Male,30, United-States, <=50K
52, Bachelors, Married-civ-spouse, Other-service, White, Male,40, Cuba, <=50K
46, HS-grad, Married-civ-spouse, Other-service, White, Female,40, United-States, <=50K
59, HS-grad, Married-civ-spouse, Sales, White, Male,48, United-States, <=50K
44, HS-grad, Divorced, Craft-repair, White, Female,40, United-States, >50K
53, HS-grad, Divorced, Sales, White, Female,35, United-States, <=50K
49, HS-grad, Married-civ-spouse, Protective-serv, White, Male,40, United-States, >50K
33, Masters, Married-civ-spouse, Prof-specialty, White, Male,50, United-States, <=50K
30, 9th, Never-married, Sales, White, Male,40, United-States, <=50K
43, Doctorate, Never-married, Prof-specialty, White, Female,50, United-States, >50K
57, Assoc-voc, Married-civ-spouse, Prof-specialty, White, Male,40, United-States, <=50K
37, Some-college, Divorced, Craft-repair, White, Female,40, United-States, <=50K
28, Some-college, Divorced, Machine-op-inspct, Black, Female,25, United-States, <=50K
30, HS-grad, Married-civ-spouse, Sales, Asian-Pac-Islander, Female,35, ?, <=50K
34, Bachelors, Married-civ-spouse, Protective-serv, White, Male,40, United-States, >50K
29, Some-college, Never-married, Handlers-cleaners, White, Male,50, United-States, <=50K
48, Doctorate, Married-civ-spouse, Prof-specialty, White, Male,60, United-States, >50K
37, Some-college, Married-civ-spouse, Sales, White, Male,48, United-States, >50K
48, Assoc-acdm, Divorced, Exec-managerial, White, Female,40, England, <=50K
32, HS-grad, Never-married, Other-service, Black, Male,40, United-States, <=50K
76, Masters, Married-civ-spouse, Exec-managerial, White, Male,40, United-States, >50K
44, Bachelors, Married-civ-spouse, Exec-managerial, White, Male,60, United-States, >50K
47, Masters, Never-married, Prof-specialty, White, Female,50, United-States, <=50K
20, Some-college, Never-married, Tech-support, White, Female,40, United-States, <=50K
29, HS-grad, Never-married, Craft-repair, White, Male,40, United-States, <=50K
32, HS-grad, Married-civ-spouse, Craft-repair, White, Male,40, United-States, >50K
17, 10th, Never-married, ?, White, Female,32, United-States, <=50K
30, 11th, Never-married, Handlers-cleaners, White, Male,40, United-States, <=50K
31, HS-grad, Never-married, Adm-clerical, White, Female,40, United-States, <=50K
42, HS-grad, Married-civ-spouse, Handlers-cleaners, White, Male,40, United-States, <=50K
24, Bachelors, Never-married, Sales, White, Male,40, United-States, <=50K
38, Prof-school, Married-civ-spouse, Prof-specialty, White, Male,40, United-States, >50K
56, HS-grad, Married-civ-spouse, Other-service, White, Male,50, Canada, >50K
28, Some-college, Married-civ-spouse, Sales, White, Female,25, United-States, <=50K
36, HS-grad, Never-married, Machine-op-inspct, White, Female,40, United-States, <=50K
53, 9th, Married-civ-spouse, Handlers-cleaners, White, Male,50, United-States, <=50K
56, Some-college, Married-civ-spouse, Sales, White, Male,50, United-States, <=50K
49, Assoc-voc, Married-civ-spouse, Craft-repair, Black, Male,40, United-States, >50K
55, Some-college, Married-civ-spouse, Sales, White, Male,56, United-States, <=50K
22, HS-grad, Never-married, Craft-repair, White, Male,41, United-States, <=50K
21, Some-college, Never-married, Other-service, White, Female,40, United-States, <=50K
40, Bachelors, Married-civ-spouse, Exec-managerial, White, Male,60, United-States, <=50K
30, Bachelors, Never-married, Exec-managerial, Black, Male,40, Germany, <=50K
29, Bachelors, Married-civ-spouse, Prof-specialty, White, Male,50, United-States, >50K
19, Some-college, Never-married, Other-service, Black, Male,35, United-States, <=50K
47, Bachelors, Married-civ-spouse, Exec-managerial, White, Female,40, United-States, >50K
20, Some-college, Never-married, Adm-clerical, White, Female,28, United-States, <=50K
31, Assoc-acdm, Married-civ-spouse, Adm-clerical, White, Male,40, United-States, >50K
35, HS-grad, Married-civ-spouse, ?, White, Male,40, United-States, <=50K
39, Some-college, Divorced, Craft-repair, White, Male,40, United-States, <=50K
28, Assoc-acdm, Never-married, Sales, White, Female,60, United-States, <=50K
24, HS-grad, Never-married, Other-service, White, Female,40, United-States, <=50K
38, HS-grad, Married-civ-spouse, Craft-repair, White, Male,35, United-States, <=50K
37, Bachelors, Married-civ-spouse, Sales, White, Male,50, United-States, <=50K
46, Assoc-acdm, Divorced, Tech-support, Black, Female,36, United-States, <=50K
38, Masters, Married-civ-spouse, Prof-specialty, White, Male,40, Iran, >50K
43, HS-grad, Married-civ-spouse, Craft-repair, White, Male,60, United-States, <=50K
27, Assoc-voc, Married-civ-spouse, Adm-clerical, White, Female,35, United-States, <=50K
20, Some-college, Never-married, Sales, White, Male,20, United-States, <=50K
49, Some-college, Married-civ-spouse, Craft-repair, Asian-Pac-Islander, Male,40, United-States, >50K
61, HS-grad, Married-civ-spouse, Craft-repair, White, Male,40, United-States, <=50K
27, Some-college, Never-married, Sales, White, Female,40, United-States, <=50K
19, Some-college, Never-married, Other-service, White, Male,30, Mexico, <=50K
45, Assoc-voc, Never-married, Prof-specialty, White, Female,40, United-States, >50K
70, Some-college, Never-married, Tech-support, White, Male,40, United-States, <=50K
31, HS-grad, Never-married, Transport-moving, Black, Female,30, United-States, <=50K
22, Some-college, Married-civ-spouse, Other-service, White, Male,24, United-States, <=50K
36, HS-grad, Widowed, Other-service, White, Female,24, United-States, <=50K
64, 11th, Married-civ-spouse, Craft-repair, White, Male,40, United-States, <=50K
43, Some-college, Divorced, ?, White, Female,40, United-States, <=50K
47, Some-college, Divorced, Adm-clerical, White, Female,38, Mexico, <=50K
34, HS-grad, Never-married, Adm-clerical, White, Female,40, United-States, <=50K
33, Bachelors, Never-married, Exec-managerial, Asian-Pac-Islander, Female,40, Philippines, <=50K
21, HS-grad, Never-married, Craft-repair, White, Male,35, United-States, <=50K
52, HS-grad, Divorced, ?, White, Male,45, United-States, >50K
48, HS-grad, Married-civ-spouse, Craft-repair, White, Male,46, United-States, <=50K
23, Bachelors, Never-married, Handlers-cleaners, White, Male,40, United-States, <=50K
71, Some-college, Separated, Sales, Black, Male,2, United-States, <=50K
29, HS-grad, Divorced, Craft-repair, White, Male,60, United-States, <=50K
42, Bachelors, Separated, Other-service, Black, Male,50, United-States, <=50K
68, 1st-4th, Divorced, ?, White, Female,20, United-States, <=50K
25, HS-grad, Never-married, Other-service, White, Female,40, United-States, <=50K
44, Masters, Divorced, Exec-managerial, Asian-Pac-Islander, Female,40, United-States, <=50K
28, HS-grad, Never-married, Exec-managerial, Asian-Pac-Islander, Female,40, England, <=50K
45, Masters, Married-civ-spouse, Sales, White, Male,40, United-States, >50K
36, Some-college, Divorced, Other-service, White, Female,40, Mexico, <=50K
39, Assoc-acdm, Never-married, Exec-managerial, White, Male,42, United-States, <=50K
46, Masters, Widowed, Protective-serv, White, Male,40, United-States, <=50K
18, 11th, Never-married, Handlers-cleaners, White, Male,16, United-States, <=50K
66, Assoc-voc, Widowed, Prof-specialty, White, Female,20, United-States, <=50K
27, HS-grad, Never-married, Other-service, White, Male,40, United-States, <=50K
28, HS-grad, Married-civ-spouse, Protective-serv, White, Male,40, United-States, <=50K
51, Some-college, Married-civ-spouse, Sales, White, Male,40, United-States, >50K
27, Bachelors, Never-married, Craft-repair, White, Male,50, United-States, <=50K
28, Bachelors, Married-civ-spouse, Prof-specialty, White, Male,40, United-States, >50K
27, HS-grad, Married-spouse-absent, Sales, White, Female,25, United-States, <=50K
21, HS-grad, Never-married, Craft-repair, Black, Male,40, United-States, <=50K
34, HS-grad, Never-married, Handlers-cleaners, Black, Male,40, United-States, <=50K
18, HS-grad, Never-married, Other-service, White, Male,12, United-States, <=50K
33, Bachelors, Married-civ-spouse, Prof-specialty, White, Male,65, United-States, <=50K
44, Some-college, Married-civ-spouse, Exec-managerial, Black, Male,38, United-States, >50K
43, Some-college, Divorced, Adm-clerical, White, Female,40, United-States, <=50K
30, Some-college, Never-married, Craft-repair, Black, Male,45, United-States, <=50K
40, 7th-8th, Married-civ-spouse, Machine-op-inspct, White, Male,40, Mexico, >50K
37, Some-college, Married-civ-spouse, Adm-clerical, White, Male,42, United-States, >50K
34, HS-grad, Married-civ-spouse, Adm-clerical, Black, Male,40, United-States, <=50K
41, Bachelors, Divorced, Exec-managerial, White, Female,40, United-States, <=50K
53, Bachelors, Divorced, ?, White, Female,50, United-States, <=50K
31, Masters, Married-civ-spouse, Prof-specialty, White, Female,50, United-States, <=50K
58, Doctorate, Married-civ-spouse, Prof-specialty, White, Male,1, United-States, >50K
38, Some-college, Divorced, Machine-op-inspct, Black, Female,28, United-States, <=50K
24, Some-college, Married-civ-spouse, Machine-op-inspct, White, Male,40, United-States, <=50K
41, Bachelors, Married-civ-spouse, Craft-repair, Black, Male,40, United-States, <=50K
47, Some-college, Married-civ-spouse, Tech-support, White, Male,45, United-States, <=50K
41, Bachelors, Married-civ-spouse, Tech-support, White, Male,24, United-States, <=50K
23, 5th-6th, Married-civ-spouse, Transport-moving, White, Male,40, Mexico, <=50K
36, Some-college, Divorced, Craft-repair, White, Male,40, United-States, <=50K
40, Masters, Never-married, Exec-managerial, White, Female,55, United-States, >50K
35, Masters, Married-civ-spouse, Prof-specialty, White, Male,40, United-States, >50K
24, HS-grad, Never-married, Sales, White, Male,40, United-States, <=50K
26, Masters, Never-married, Prof-specialty, White, Female,40, United-States, <=50K
19, HS-grad, Never-married, ?, White, Male,40, Italy, <=50K
51, Bachelors, Married-civ-spouse, Exec-managerial, White, Male,50, United-States, >50K
42, Some-college, Never-married, Prof-specialty, White, Female,40, United-States, <=50K
37, HS-grad, Divorced, Adm-clerical, White, Female,35, United-States, <=50K
18, 11th, Never-married, Sales, White, Female,40, United-States, <=50K
36, Bachelors, Married-civ-spouse, Other-service, Black, Male,36, United-States, >50K
35, HS-grad, Divorced, Craft-repair, White, Male,60, United-States, <=50K
58, HS-grad, Married-civ-spouse, Sales, White, Female,35, United-States, >50K
17, 11th, Never-married, Sales, White, Female,12, United-States, <=50K
44, HS-grad, Married-civ-spouse, Transport-moving, Black, Male,40, United-States, <=50K
37, HS-grad, Married-civ-spouse, Craft-repair, White, Male,40, United-States, >50K
35, Some-college, Never-married, Sales, Amer-Indian-Eskimo, Female,40, United-States, <=50K
60, HS-grad, Married-civ-spouse, Craft-repair, Asian-Pac-Islander, Male,40, United-States, <=50K
54, 7th-8th, Married-civ-spouse, Machine-op-inspct, White, Male,40, United-States, >50K
37, Bachelors, Never-married, Exec-managerial, Black, Male,60, United-States, >50K
50, Assoc-acdm, Divorced, Sales, White, Female,40, United-States, <=50K
38, Bachelors, Married-civ-spouse, Sales, White, Male,50, Poland, <=50K
45, Bachelors, Married-civ-spouse, Prof-specialty, White, Male,55, United-States, <=50K
25, 10th, Never-married, Craft-repair, White, Male,40, United-States, <=50K
31, Some-college, Married-civ-spouse, Handlers-cleaners, White, Male,40, United-States, <=50K
64, 1st-4th, Divorced, ?, White, Male,40, United-States, <=50K
90, HS-grad, Never-married, Other-service, Black, Male,40, United-States, <=50K
54, HS-grad, Married-civ-spouse, Adm-clerical, Black, Male,20, United-States, <=50K
53, Preschool, Never-married, Machine-op-inspct, White, Female,35, United-States, <=50K
18, HS-grad, Never-married, Sales, White, Female,40, United-States, <=50K
60, 10th, Divorced, ?, Amer-Indian-Eskimo, Female,10, United-States, <=50K
66, HS-grad, Married-civ-spouse, Farming-fishing, White, Male,50, United-States, <=50K
75, Assoc-voc, Widowed, Adm-clerical, White, Female,20, Columbia, <=50K
65, HS-grad, Divorced, Adm-clerical, White, Female,40, United-States, <=50K
35, 11th, Separated, Transport-moving, Black, Male,40, United-States, <=50K
41, HS-grad, Divorced, Sales, Black, Female,38, United-States, <=50K
25, Some-college, Never-married, Adm-clerical, White, Male,42, United-States, <=50K
33, Some-college, Divorced, Craft-repair, Other, Female,40, United-States, <=50K
28, Prof-school, Never-married, Prof-specialty, White, Male,55, United-States, >50K
59, HS-grad, Married-civ-spouse, Other-service, White, Male,40, United-States, <=50K
40, Some-college, Never-married, Adm-clerical, White, Female,38, United-States, <=50K
41, Bachelors, Married-civ-spouse, Exec-managerial, White, Male,50, Iran, >50K
38, Masters, Married-civ-spouse, Exec-managerial, White, Male,70, United-States, >50K
23, HS-grad, Never-married, Transport-moving, White, Male,40, United-States, <=50K
40, Bachelors, Married-civ-spouse, Prof-specialty, White, Male,40, United-States, >50K
41, HS-grad, Married-civ-spouse, Other-service, White, Female,20, United-States, <=50K
24, Assoc-acdm, Married-civ-spouse, Protective-serv, White, Male,50, United-States, <=50K
20, Some-college, Never-married, ?, White, Male,20, United-States, <=50K
38, Some-college, Divorced, Craft-repair, White, Male,40, United-States, <=50K
56, HS-grad, Married-civ-spouse, Adm-clerical, White, Male,35, ?, <=50K
58, HS-grad, Married-civ-spouse, Adm-clerical, White, Male,45, United-States, >50K
32, HS-grad, Never-married, Other-service, White, Female,34, United-States, <=50K
40, Assoc-acdm, Married-civ-spouse, Tech-support, White, Male,60, United-States, >50K
45, HS-grad, Married-civ-spouse, Adm-clerical, White, Male,40, ?, <=50K
41, Prof-school, Married-civ-spouse, Prof-specialty, White, Female,40, United-States, >50K
42, Bachelors, Married-civ-spouse, Adm-clerical, Black, Female,40, United-States, <=50K
59, 10th, Widowed, Other-service, Black, Female,30, United-States, <=50K
19, Some-college, Never-married, Adm-clerical, White, Male,40, United-States, <=50K
58, Some-college, Never-married, Transport-moving, White, Male,20, United-States, <=50K
42, HS-grad, Married-civ-spouse, Farming-fishing, Asian-Pac-Islander, Male,40, Cambodia, >50K
20, HS-grad, Never-married, Other-service, White, Female,40, United-States, <=50K
32, HS-grad, Separated, Other-service, White, Female,30, United-States, <=50K
45, Assoc-voc, Widowed, Exec-managerial, White, Female,45, United-States, <=50K
50, 7th-8th, Divorced, Craft-repair, White, Male,40, United-States, <=50K
36, Bachelors, Divorced, Prof-specialty, White, Female,40, United-States, <=50K
45, HS-grad, Married-civ-spouse, Sales, White, Male,60, United-States, <=50K
17, 11th, Never-married, Other-service, White, Male,12, United-States, <=50K
59, Some-college, Married-civ-spouse, Sales, White, Male,40, United-States, <=50K
26, 11th, Married-civ-spouse, Craft-repair, White, Male,40, United-States, <=50K
37, Some-college, Married-civ-spouse, Exec-managerial, Asian-Pac-Islander, Male,75, Thailand, >50K
19, Some-college, Never-married, ?, White, Male,24, Canada, <=50K
64, HS-grad, Married-civ-spouse, Exec-managerial, White, Male,40, United-States, >50K
33, Bachelors, Never-married, Prof-specialty, White, Female,45, United-States, <=50K
33, HS-grad, Married-civ-spouse, Craft-repair, White, Female,40, United-States, >50K
61, HS-grad, Married-civ-spouse, Exec-managerial, White, Male,40, United-States, >50K
17, 9th, Never-married, Other-service, White, Male,24, United-States, <=50K
50, Masters, Married-civ-spouse, Farming-fishing, White, Male,98, United-States, <=50K
27, Masters, Never-married, Prof-specialty, White, Male,35, United-States, <=50K
30, HS-grad, Divorced, Prof-specialty, White, Female,40, United-States, <=50K
43, HS-grad, Married-civ-spouse, Handlers-cleaners, Black, Male,40, United-States, <=50K
44, Some-college, Married-civ-spouse, Craft-repair, White, Male,40, United-States, >50K
